#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: DDiscovery
#Serial Number: SN:210321B565AC
#Date Time: 2024-03-17 21:23:40.612.472.220
#Sample rate: 29994Hz
#Samples: 30000

Time (s),SPI MOSI,SPI MISO
-0.2930586,h00,h00
-0.29302526,h00,h00
-0.29299192,h00,h00
-0.29295858,h00,h00
-0.29292524,h00,h00
-0.2928919,h00,h00
-0.29285856,h00,h00
-0.29282522,h00,h00
-0.29279188,h00,h00
-0.29275854,h00,h00
-0.2927252,h00,h00
-0.29269186,h00,h00
-0.29265852,h00,h00
-0.29262518,h00,h00
-0.29259184,h00,h00
-0.2925585,h00,h00
-0.29252516,h00,h00
-0.29249182,h00,h00
-0.29245848,h00,h00
-0.29242514,h00,h00
-0.2923918,h00,h00
-0.29235846,h00,h00
-0.29232512,h00,h00
-0.29229178,h00,h00
-0.29225844,h00,h00
-0.2922251,h00,h00
-0.29219176,h00,h00
-0.29215842,h00,h00
-0.29212508,h00,h00
-0.29209174,h00,h00
-0.2920584,h00,h00
-0.29202506,h00,h00
-0.29199172,h00,h00
-0.29195838,h00,h00
-0.29192504,h00,h00
-0.2918917,h00,h00
-0.29185836,h00,h00
-0.29182502,h00,h00
-0.29179168,h00,h00
-0.29175834,h00,h00
-0.291725,h00,h00
-0.29169166,h00,h00
-0.29165832,h00,h00
-0.29162498,h00,h00
-0.29159164,h00,h00
-0.2915583,h00,h00
-0.29152496,h00,h00
-0.29149162,h00,h00
-0.29145828,h00,h00
-0.29142494,h00,h00
-0.2913916,h00,h00
-0.29135826,h00,h00
-0.29132492,h00,h00
-0.29129158,h00,h00
-0.29125824,h00,h00
-0.2912249,h00,h00
-0.29119156,h00,h00
-0.29115822,h00,h00
-0.29112488,h00,h00
-0.29109154,h00,h00
-0.2910582,h00,h00
-0.29102486,h00,h00
-0.29099152,h00,h00
-0.29095818,h00,h00
-0.29092484,h00,h00
-0.2908915,h00,h00
-0.29085816,h00,h00
-0.29082482,h00,h00
-0.29079148,h00,h00
-0.29075814,h00,h00
-0.2907248,h00,h00
-0.29069146,h00,h00
-0.29065812,h00,h00
-0.29062478,h00,h00
-0.29059144,h00,h00
-0.2905581,h00,h00
-0.29052476,h00,h00
-0.29049142,h00,h00
-0.29045808,h00,h00
-0.29042474,h00,h00
-0.2903914,h00,h00
-0.29035806,h00,h00
-0.29032472,h00,h00
-0.29029138,h00,h00
-0.29025804,h00,h00
-0.2902247,h00,h00
-0.29019136,h00,h00
-0.29015802,h00,h00
-0.29012468,h00,h00
-0.29009134,h00,h00
-0.290058,h00,h00
